# Wavelength(micron) (rp/rs)^2 Error_bars
6.133207918116708512e+00 1.053666788013174482e-02 1.000000000000000082e-05
6.112039977292130999e+00 1.053637996024376147e-02 1.000000000000000082e-05
6.090945094763426937e+00 1.053608978320415106e-02 1.000000000000000082e-05
6.069923018379737023e+00 1.053578993950310405e-02 1.000000000000000082e-05
6.048973496860457821e+00 1.053548122527066949e-02 1.000000000000000082e-05
6.028096279792245937e+00 1.053518015453610429e-02 1.000000000000000082e-05
6.007291117626036403e+00 1.053487915717272842e-02 1.000000000000000082e-05
5.986557761674037081e+00 1.053457189635491516e-02 1.000000000000000082e-05
5.965895964106779026e+00 1.053427132191530995e-02 1.000000000000000082e-05
5.945305477950135753e+00 1.053398066594505439e-02 1.000000000000000082e-05
5.924786057082378044e+00 1.053365145991755521e-02 1.000000000000000082e-05
5.904337456231241177e+00 1.053334717513584179e-02 1.000000000000000082e-05
5.883959430970973514e+00 1.053303516997936180e-02 1.000000000000000082e-05
5.863651737719436596e+00 1.053272158297820921e-02 1.000000000000000082e-05
5.843414133735176819e+00 1.053241395515468713e-02 1.000000000000000082e-05
5.823246377114526418e+00 1.053211456297130019e-02 1.000000000000000082e-05
5.803148226788726660e+00 1.053178881520457424e-02 1.000000000000000082e-05
5.783119442521022613e+00 1.053147582419455830e-02 1.000000000000000082e-05
5.763159784903816529e+00 1.053118718527639060e-02 1.000000000000000082e-05
5.743269015355783935e+00 1.053086149266791761e-02 1.000000000000000082e-05
5.723446896119032345e+00 1.053054996556349737e-02 1.000000000000000082e-05
5.703693190256267975e+00 1.053025805077221697e-02 1.000000000000000082e-05
5.684007661647940246e+00 1.052994159819921685e-02 1.000000000000000082e-05
5.664390074989447577e+00 1.052965974254087105e-02 1.000000000000000082e-05
5.644840195788300541e+00 1.052933740248818140e-02 1.000000000000000082e-05
5.625357790361329435e+00 1.052903540205982376e-02 1.000000000000000082e-05
5.605942625831898063e+00 1.052874515194008979e-02 1.000000000000000082e-05
5.586594470127103307e+00 1.052848171175541428e-02 1.000000000000000082e-05
5.567313091975020001e+00 1.052809887746738310e-02 1.000000000000000082e-05
5.548098260901918266e+00 1.052802969761538338e-02 1.000000000000000082e-05
5.528949747229518152e+00 1.052766662285104654e-02 1.000000000000000082e-05
5.509867322072252271e+00 1.052734750397158608e-02 1.000000000000000082e-05
5.490850757334507115e+00 1.052716142402779047e-02 1.000000000000000082e-05
5.471899825707924769e+00 1.052685432958191773e-02 1.000000000000000082e-05
5.453014300668661996e+00 1.052668014793366712e-02 1.000000000000000082e-05
5.434193956474691056e+00 1.052627881440916860e-02 1.000000000000000082e-05
5.415438568163111199e+00 1.052577744390303070e-02 1.000000000000000082e-05
5.396747911547441490e+00 1.052593951166167982e-02 1.000000000000000082e-05
5.378121763214958939e+00 1.052528373396801123e-02 1.000000000000000082e-05
5.359559900524012654e+00 1.052460941603182085e-02 1.000000000000000082e-05
5.341062101601369072e+00 1.052415548712942392e-02 1.000000000000000082e-05
5.322628145339569627e+00 1.052332606337868202e-02 1.000000000000000082e-05
5.304257811394263555e+00 1.052249929156691757e-02 1.000000000000000082e-05
5.285950880181605527e+00 1.052226102339714163e-02 1.000000000000000082e-05
5.267707132875600884e+00 1.052234661474052251e-02 1.000000000000000082e-05
5.249526351405506830e+00 1.052130150101978322e-02 1.000000000000000082e-05
5.231408318453228290e+00 1.052075263718585570e-02 1.000000000000000082e-05
5.213352817450705778e+00 1.052041813598291430e-02 1.000000000000000082e-05
5.195359632577344122e+00 1.051958125230903311e-02 1.000000000000000082e-05
5.177428548757416316e+00 1.051930928266332256e-02 1.000000000000000082e-05
5.159559351657501125e+00 1.051865512366790580e-02 1.000000000000000082e-05
5.141751827683926912e+00 1.051809422265228937e-02 1.000000000000000082e-05
5.124005763980201245e+00 1.051746481302937887e-02 1.000000000000000082e-05
5.106320948424489359e+00 1.051741020200252716e-02 1.000000000000000082e-05
5.088697169627057093e+00 1.051658267933401787e-02 1.000000000000000082e-05
5.071134216927753791e+00 1.051630780095590655e-02 1.000000000000000082e-05
5.053631880393502307e+00 1.051638565330666013e-02 1.000000000000000082e-05
